"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atenção</strong>: Captcha é case sensitive."
"After number of attempts to login","Depois do número de tentativas de login"
"Always","Sempre"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","Tempo Limite do CAPTCHA (minutos)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA para os formulários ""Criar usuário"" e ""Esqueceu sua senha"" são sempre habilitados se escolhidos"
"Case Sensitive","Case Sensitive"
"Displaying Mode","Modo de Exibição"
"Enable CAPTCHA in Admin","Habilitar CAPTCHA no Admin"
"Enable CAPTCHA on Frontend","Habilitar CAPTCHA no Frontend"
"Font","Fonte"
"Forms","Formulários"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Se 0 for especificado, o CAPTCHA no formulário de Login estará sempre disponível."
"Incorrect CAPTCHA.","CAPTCHA Incorreto."
"Number of Symbols","Número de Símbolos"
"Number of Unsuccessful Attempts to Login","Número de Tentativas Sem Sucesso para o Login"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Por favor especifique 8 símbolos no máximo. Faixa permitida (ex. 3-5)"
"Please type the letters below","Por favor digite as letras abaixo"
"Please type the letters from the image:","Por favor digite as letras da imagem:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Por favor use somente letras (a-z ou A-Z) ou números (0-9) neste campo. Nenhum espaço ou outros caracteres são permitidos.<br />Caracteres de aparência similar (ex. ""i"", ""l"", ""1"") diminuem as chances de reconhecimento correto do cliente."
"Reload captcha","Recarregar captcha"
"Symbols Used in CAPTCHA","Símbolos utilizados no CAPTCHA"
