"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Regras de Preço do Catálogo baseadas no atributo ""%s"" foram desabilitadas."
"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar Nova Regra"
"An error occurred while deleting the rule. Please review the log and try again.","Ocorreu um erro ao excluir a regra. Por favor, revise o log e tente novamente."
"An error occurred while saving the rule data. Please review the log and try again.","Ocorreu um erro ao salvar os dados da regra. Por favor, revise o log e tente novamente."
"Apply","Aplicar"
"Apply Rules","Aplicar Regras"
"Attribute Set","Conjuntode Atributos"
"By Fixed Amount","Pela Quantidade Fixa"
"By Percentage of the Original Price","Por Percentual do Preço Original"
"Catalog","Catálogo"
"Catalog Price Rule","Regra de Preço do Catálogo"
"Catalog Price Rules","Regras de Preço do Catálogo"
"Category","Categoria"
"Conditions","Condições"
"Conditions (leave blank for all products)","Condições (deixe em branco para todos produtos)"
"Conditions Combination","Combinação de Condições"
"Customer Groups","Grupos de Clientes"
"Date Expire","Date de Expiração"
"Date From","Date Inicial"
"Date Start","Data Inicial"
"Date To","Data Final"
"Description","Descrição"
"Discount Amount","Quantidade de Desconto"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar Regra '%s'"
"Enable Discount to Subproducts","Habilitar Desconto para Subprodutos"
"From Date","A Partir da Data"
"General Information","Informação Geral"
"ID","ID"
"Inactive","Inativo"
"New Rule","Nova Regra"
"No","Não"
"Options","Opções"
"Priority","Prioridade"
"Product Attribute","Atributo do Produto"
"Promotions","Promoções"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Save and Apply","Salvar e Aplicar"
"Save and Continue Edit","Salvar e Continuar Editando"
"Status","Status"
"Stop Further Rules Processing","Interromper o Processamento de Novas Regras"
"The rule has been deleted.","A regra foi excluída."
"The rule has been saved.","A regra foi salva."
"The rules have been applied.","As regras foram aplicadas."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Existem regras que foram alteradas, mas não foram aplicados. Por favor, clique em Aplicar Regras, a fim de ver o efeito imediato no catálogo."
"This rule no longer exists.","Esta regra não existe mais."
"To Date","Até a Data"
"To Fixed Amount","Para Quantidade Fixa"
"To Percentage of the Original Price","Para Percentual do Preço Original"
"Unable to apply rules.","Não foi possível aplicar regras."
"Unable to find a rule to delete.","Não foi possível encontrar uma regra para excluir."
"Update Prices Using the Following Information","Atualizar Preços Usando a Seguinte Informação"
"Update product's %s %s: %s","Atualizar %s do produto %s: %s"
"Website","Website"
"Websites","Websites"
"Wrong rule specified.","Regra especificada incorreta."
"Yes","Sim"
