"%s and greater","%s e maior"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> foram encontrados usando o critério de pesquisa seguinte"
"Advanced Search","Pesquisa Avançada"
"Advanced Search Form","Formulário de Pesquisa Avançada"
"Advanced Search Result","Resultado de Pesquisa Avançada"
"All","Tudo"
"Applies for ""Like"" search type only.","Se aplica somente ao tipo de pesquisa ""Like""."
"Apply Layered Navigation if Search Results are Less Than","Aplicar Navegação em Camadas se os Resultados da Pesquisa forem Menor Que"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Mudança de configuração de atributo relacionado com o Índice de Pesquisa. Por favor execute o processo <a href=""%s"">Reconstruir Índice de Pesquisa</a>."
"Autogenerated Site Map","Site Map Gerado Automaticamente"
"Catalog Advanced Search","Pesquisa Avançada do Catálogo"
"Catalog Search","Pesquisa do Catálogo"
"Catalog Search Index","Índice de Pesquisa do Catálogo"
"Don't see what you're looking for?","Não encontra o que você está procurando?"
"Enter ""0"" to enable layered navigation for any number of results.","Digite ""0"" para habilitar a navegação em camadas para qualquer número de resultados."
"Go","Ir"
"Go to Home Page","Ir para Página Inicial"
"Grid","Grade"
"Home","Início"
"List","Lista"
"Maximum Query Length","Comprimento Máximo da Consulta"
"Maximum Query Words Count","Contagem Máxima de Palavras da Consulta"
"Maximum Search query length is %s. Your query was cut.","O comprimento máximo da consulta é de %s. Sua consulta foi cortada."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","A contagem máxima de palavras é de %1$s. Em sua consulta foi cortada próxima a parte: %2$s."
"Minimal Query Length","Comprimento Mínimo da Consulta"
"Minimum Search query length is %s","O comprimento mínimo da consulta é de %s"
"Modify your search","Modifique sua pesquisa"
"No","Não"
"No items were found using the following search criteria.","Nenhum item foi encontrado usando o critério de pesquisa seguinte."
"Please specify at least one search term.","Por favor especifique pelo menos um termo de pesquisa."
"Popular Search Terms","Termos de Pesquisa Populares"
"Quick Search Form","Formulário de Pesquisa Rápida"
"Rebuild Catalog product fulltext search index","Reconstruir o índice de pesquisa fulltext de produtos do Catálogo"
"Relevance","Relevância"
"Results","Resultados"
"Search","Pesquisar"
"Search Settings","Configurações de Pesquisa"
"Search Terms","Termos de Pesquisa"
"Search Type","Tipo de Pesquisa"
"Search entire store here...","Pesquise a loja inteira aqui..."
"Search results for '%s'","Resultados da pesquisa por '%s'"
"Search results for: '%s'","Resultados da pesquisa por: '%s'"
"Search:","Pesquisa:"
"Specified date is invalid.","A data especificada é inválida."
"Subscribe to Feed","Assine o Feed"
"There are no search terms available.","Não há termos de pesquisa disponíveis."
"Yes","Sim"
"Your search returns no results.","Sua pesquisa não retornou resultados."
"up to %s","até %s"
