"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","Validação de Cartão 3D Secure"
"3D Secure Cardholder Validation","Validação de Titular 3D Secure"
"3D Secure Electronic Commerce Indicator","Indicador de Comércio Eletrônico 3D Secure"
"3D Secure Verification Result","Resultado da Verificação 3D Secure"
"3D Secure XID","XID 3D Secure"
"Card Issuer Liability","Responsabilidade do Emissor do Cartão"
"Card Verification","Verificação de Cartão"
"Enrolled","Registrado"
"Enrolled but Authentication Unavailable","Registrado mas Autenticação Indisponível"
"Failed","Falhou"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Responsabilidade do Comerciante"
"Not Enrolled","Não Registrado"
"Order cannot be placed.","Pedido não pode ser feito."
"Payment information error. Please start over.","Erro de informações de pagamento. Por favor, começar de novo."
"Please continue with placing order.","Por favor, continue a fazer o pedido."
"Please verify the card with the issuer bank before placing the order.","Por favor, verifique o cartão com o banco emissor, antes de fazer o pedido."
"Please verify the card with the issuer bank:","Por favor, verifique o cartão com o banco emissor:"
"Start/Reset Validation...","Iniciar/Redefinir Validação..."
"Successful","Bem Sucedido"
"Successful attempt","Tentativa bem sucedida"
"The card has failed verification with the issuer bank.","O cartão falhou na verificação com o banco emissor."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Informações de pagamento incorretas foram enviadas ou o tempo limite expirou. Por favor, tente novamente."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Informações de pagamento incorretas foram enviadas ou o tempo limite expirou. Por favor, tente novamente."
"This card has failed validation and cannot be used.","Este cartão falhou na validação e não pode ser usado."
"To ensure the security of your transactions","Para garantir a segurança de suas transações"
"Unable to complete","Não foi possível concluir"
"Validation failed.","Validação falhou."
"Verification Failed","Verificação Falhou"
"Verification Successful","Verificação Bem Sucedida"
"Verification cannot be processed","Verificação não pode ser processada"
"Verified by Visa","Verificado por Visa"
