"-- Please select --","-- Por favor selecione --"
"Allowed Currencies","Moedas Permitidas"
"Base Currency","Moeda Base"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","A moeda base é usada para todas as transações de pagamento online. O escopo é definido pelo escopo de preço do catálogo (""Catálogo"" > ""Preço"" > ""Escopo de Preço do Catálogo"")."
"Can\'t convert rate from ""%s-%s"".","Não é possível converter a taxa de ""%s-%s""."
"Cannot retrieve rate from %s.","Não é possível recuperar a taxa de %s."
"Connection Timeout in Seconds","Tempo Limite de Conexão em Segundos"
"Continue &raquo;","Continar &raquo;"
"Country","País"
"Country API","API de País"
"Country and Format Type combination should be unique","A combinação de País e Tipo do Formato deve ser única"
"Currency","Moeda"
"Currency Options","Opções de Moeda"
"Currency Setup","Instalação de Moeda"
"Currency Update Warnings","Avisos de Atualização Moeda"
"Default Display Currency","Moeda de Exibição Padrão"
"Directory","Diretório"
"Display not required State","Exibir Estado não obrigatório"
"Enabled","Habilitado"
"Error Email Recipient","Destinatário de Email de Erro"
"Error Email Sender","Remetente de Email de Erro"
"Error Email Template","Template de Email de Erro"
"FATAL ERROR:","ERRO FATAL:"
"Frequency","Frequência"
"Installed Currencies","Moedas Instaladas"
"Invalid Import Service specified.","Serviço de Importação especificado inválido."
"Invalid country code: %s","Código de país inválido: %s"
"Invalid rates received","Taxas recebidas inválidas"
"Invalid target currency.","Moeda de destino inválida."
"List of countries","Lista de países"
"List of regions in specified country","Lista de regiões no país especificado"
"Postal Code is Optional for the following countries","Código Postal é Opcional para os seguinte países"
"Region","Região"
"Region API","API de Região"
"Scheduled Import Settings","Configurações Importações Agendadas"
"Select Your Currency","Selecione Sua Moeda"
"Service","Serviço"
"Start Time","Horário de Início"
"State is required for","Estado é obrigatório para"
"State/Province","Estado/Província"
"States Options","Opções de Estados"
"Unable to initialize the import model.","Não foi possível inicializar o modelo de importação."
"Undefined rate from ""%s-%s"".","Taxa não definida de ""%s-%s""."
"WARNING:","ATENÇÃO:"
"Webservicex","Webservicex"
"Your current currency is: %s","Sua moeda atual é: %s"
