"%s Index process is working now. Please try run this process later.","O processo de indexação %s está sendo executado agora. Por favor, tente executar esse processo mais tarde."
"%s index was rebuilt.","O índice %s foi reconstruído."
"'%s' Index Process Information","Informações do Processo de Indexação '%s'"
"Action","Ação"
"Cannot initialize the indexer process.","Não é possível inicializar o processo indexador."
"Change Index Mode","Alterar Modo de Indexação"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Clique aqui para ir para <a href=""%s"">Gerenciamento de Cache</a> e atualizar os tipos de cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Clique aqui para ir para <a href=""%s"">Gerenciamento de Índices</a> e reconstruir os índices necessários."
"Delete","Excluir"
"Description","Descrição"
"Disable","Desabilitar"
"Enable","Habilitar"
"General","Geral"
"Index","Índice"
"Index Description","Descrição do Índice"
"Index Management","Gerenciamento de Índices"
"Index Mode","Modo de Indexação"
"Index Name","Nome da Indexação"
"Index mode","Modo de indexação"
"Indexer code is not defined.","Código indexador não está definido."
"Indexer model is not defined.","Modelo indexador não está definido."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","O modelo indexador deve extender Mage_Index_Model_Indexer_Abstract."
"Manual Update","Atualização Manual"
"Mode","Modo"
"Never","Nunca"
"No","Não"
"One or more of the Indexes are not up to date:","Um ou mais dos índices não estão atualizados:"
"Please select Index(es)","Por favor selecione o(s) Índice(s)"
"Please select Indexes","Por favor selecione os Índices"
"Process Information","Informações do Processo"
"Processing","Processando"
"Ready","Pronto"
"Refresh","Atualizar"
"Reindex Data","Reindexar Dados"
"Reindex Required","Reindexação Necessária"
"Revoke","Revogar"
"Status","Status"
"System","Sistema"
"The index has been saved.","O índice foi salvo."
"There was a problem with reindexing process.","Ocorreu um problema com o processo de reindexação."
"There was a problem with saving process.","Ocorreu um problema com o processo de salvamento."
"Total of %d index(es) have changed index mode.","Total de %d índice(s) foram alterados os modos de indexação."
"Total of %d index(es) have reindexed data.","Total de %d índice(s) tem dados reindexados."
"Update Required","Atualização Necessária"
"Update on Save","Atualizar ao Salvar"
"Updated At","Atualizado Em"
"Yes","Sim"
