"Alert Email Sender","Remetente do Email de Alerta"
"Alert subscription has been saved.","A inscrição no alerta foi salva"
"Allow Alert When Product Comes Back in Stock","Permitir Alerta Quando o Produto Voltar ao Estoque"
"Allow Alert When Product Price Changes","Permitir Alerta Quando o Preço do Produto Mudar"
"Click here not to receive alerts for this product","Clique aqui para não receber alertas para este produto"
"Error Email Recipient","Destinatário de Email de Erro"
"Error Email Sender","Remetente de Email de Erro"
"Error Email Template","Template de Email de Erro"
"Frequency","Frequência"
"Not enough parameters.","Parâmetros não suficientes."
"Price Alert Email Template","Template de Email de Alerta de Preço"
"Price:","Preço:"
"Product Alerts","Alertas de Produto"
"Product Alerts Run Settings","Configurações de Execução de Alertas de Produto"
"Product alerts Cron error","Erro no Cron de alertas de produto"
"Product price alert","Alerta de preço do produto"
"Product stock alert","Alerta de estoque do produto"
"Regular Price:","Preço Normal:"
"Sign up for price alert","Cadastre-se para alerta de preços"
"Sign up to get notified when this product is back in stock","Cadastre-se para ser notificado quando este produto estiver novamente disponível"
"Special price:","Preço especial:"
"Start Time","Horário de Início"
"Stock Alert Email Template","Template de Email de Alerta de Estoque"
"The alert subscription has been deleted.","A inscrição no alerta foi excluída."
"The alert subscription has been saved.","A inscrição no alerta foi salva."
"The product is not found.","O produto não foi encontrado."
"The product was not found.","O produto não foi encontrado."
"Unable to update the alert subscription.","Não foi possível atualizar a inscrição no alerta."
"Unsubscribe from all price alerts","Cancelar inscrição de todos os alertas de preços"
"Unsubscribe from all stock alerts","Cancelar inscrição de todos os alertas de estoque"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Você está recebendo esta notificação porque você se inscreveu para receber alertas quando os seguintes produtos estivessem novamente disponíveis:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Você está recebendo esta notificação porque você se inscreveu para receber alertas quando os preços dos seguintes produtos fossem alterados:"
"You will no longer receive price alerts for this product.","Você deixará de receber alertas de preços para este produto."
"You will no longer receive stock alerts for this product.","Você deixará de receber alertas de estoque para este produto."
"You will no longer receive stock alerts.","Você deixará de receber alertas de estoque."
