"%d Review(s)","%d Comentário(s)"
"%s Review(s)","%s Comentário(s)"
"(Posted on %s)","(Postado em %s)"
"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Adicionar Novo Comentário"
"Add Your Review","Adicionar Seu Comentário"
"Administrator","Administrador"
"All Reviews","Todos os Comentários"
"All Reviews of Customer `%s`","Todos os Comentários do Cliente `%s`"
"All Reviews of Product `%s`","Todos os Comentários do Produto `%s`"
"Allow Guests to Write Reviews","Permitir que Visitantes Escrevam Comentários"
"Approved","Aprovado"
"Are you sure you want to do this?","Você tem certeza de que deseja fazer isto?"
"Are you sure?","Você tem certeza?"
"Average Customer Rating","Classificação Média dos Clientes"
"Average Customer Rating:","Classificação Média dos Clientes:"
"Back","Voltar"
"Back to Main Product Info","Voltar para as Informações do Produto"
"Back to My Reviews","Voltar para Meus Comentários"
"Back to Product Reviews","Voltar para Comentários do Produto"
"Be the first to review this product","Seja o primeiro a avaliar este produto"
"Catalog Product Review View","Catalog Product Review View"
"Catalog Product Reviews List","Catalog Product Reviews List"
"Created On","Criado Em"
"Customer","Cliente"
"Customer My Account Product Reviews","Customer My Account Product Reviews"
"Customer My Account Review Details","Customer My Account Review Details"
"Customer Reviews","Comentários de Clientes"
"Customers Reviews","Comentários dos Clientes"
"Delete","Excluir"
"Delete Review","Excluir Comentários"
"Detailed Rating","Classificação Detalhada"
"Edit Review '%s'","Editar Comentários '%s'"
"Guest","Visitante"
"How do you rate this product?","Como você avalia este produto?"
"ID","ID"
"Manage Ratings","Gerenciar Classificações"
"My Product Reviews","Meus Comentários de Produtos"
"My Recent Reviews","Meus Comentários Recentes"
"Name","Nome"
"Name in Store","Nome na Loja"
"New Review","Novo Comentários"
"Nickname","Apelido"
"Nickname can\'t be empty","Apelido não pode ficar vazio"
"Not Approved","Não Aprovado"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Somente usuários registrados podem escrever avaliações. Por favor, <a href=""%s"">faça login</a> ou <a href=""%s"">cadastre-se</a>"
"Pending","Pendente"
"Pending Reviews","Comentários Pendentes"
"Pending Reviews of Customer `%s`","Comentários Pendentes do Cliente `%s`"
"Please select a product","Por favor selecione um produto"
"Please select one of each of the ratings above","Por favor selecione um de cada avaliações abaixo"
"Posted By","Postado Por"
"Price","Preço"
"Product","Produto"
"Product Name","Nome do Produto"
"Product Rating","Classificação do Produto"
"Product Rating:","Classificação do Produto:"
"Product Review (submitted on %s):","Comentário do Produto (enviado em %s):"
"Product Reviews","Comentários do Produto"
"Product SKU","SKU do Produto"
"Products Reviews","Comentários de Produtos"
"Qty","Qtd"
"Rating:","Classificação:"
"Review","Comentário"
"Review (submitted on %s):","Comentário (enviado em %s):"
"Review Details","Detalhes do Comentário"
"Review Form Fields Before","Review Form Fields Before"
"Review by <span>%s</span>","Comentário por <span>%s</span>"
"Review can\'t be empty","Comentário não pode ficar vazio"
"Review summary can\'t be empty","Resumo da avaliação não pode ficar vazio"
"Reviews and Ratings","Comentário e Classificações"
"SKU","SKU"
"Save Review","Salvar Comentário"
"Status","Status"
"Submit Review","Enviar Comentário"
"Summary Rating","Resumo das Classificações"
"Summary of Review","Resumo da Comentário"
"Summary of Your Review","Resumo do Seu Comentário"
"Title","Título"
"Type","Tipo"
"Unable to post the review.","Não foi possível postar a avaliação."
"Update Status","Atualizar Status"
"View All Reviews","Exibir Todos os Comentários"
"View Details","Exibir Detalhes"
"Visible In","Visível Em"
"Websites","Websites"
"Write Your Own Review","Escreva Seu Próprio Comentário"
"You have submitted no reviews.","Você não enviou nenhuma avaliação."
"You're reviewing:","Você está avaliando:"
"Your Rating:","Sua Classificação:"
"Your Review (submitted on %s):","Seu Comentário (enviado em %s):"
"Your review has been accepted for moderation.","Sua avaliação foi aceita para moderação."
