"ALL","TODAS"
"ANY","QUAISQUER"
"Add","Adicionar"
"Apply","Aplicar"
"Conditions Combination","Combinação de Condições"
"Customer Groups must be specified.","Grupos de Clientes deve ser especificado."
"End Date must be greater than Start Date.","Data de Término deve ser maior que a Data de Início."
"FALSE","FALSAS"
"If %s of these conditions are %s:","Se %s condições forem %s:"
"Invalid discount amount.","Quantidade de desconto inválida."
"Open Chooser","Abrir Seletor"
"Perform following actions","Realizar as seguintes ações"
"Please choose a condition to add...","Por favor escolha uma condição para adicionar..."
"Please choose an action to add...","Por favor escolha uma ação para adicionar..."
"Remove","Remover"
"TRUE","VERDADEIRAS"
"There is no information about associated entity type ""%s"".","Não há informações sobre o tipo da entidade associada ""%s""."
"Websites must be specified.","Websites precisam ser especificados."
"by","por"
"contains","contém"
"does not contain","não contém"
"equals or greater than","igual ou maior que"
"equals or less than","igual ou menor que"
"greater than","maior que"
"is","é"
"is not","não é"
"is not one of","não é um dos"
"is one of","é um dos"
"less than","menor que"
"to","até"
